motif,N,K,n,x,p,q
GGGEEE,6000,2981,2339,1500,2.1369508544474224e-72,3.622640496110869e-71
GGGGGEE,6000,2981,1708,1097,2.0190218462652735e-46,1.4974412026467445e-45
AACCCCCCCC,6000,2981,160,147,2.967531166023362e-31,1.090273465621036e-30
DDDFF,6000,2981,756,500,1.3422260039701872e-22,3.661551397803729e-22
DDDEEEEEEEEE,6000,2981,1703,1024,1.161682091819489e-24,3.3622668673799846e-24
BBBBAAAAAA,6000,2981,324,248,2.2680066453149983e-24,6.459282925857116e-24
AAAAA,6000,2981,3538,2516,0.0,0.0
DDEEE,6000,2981,2168,1328,7.853321467171891e-42,4.948287508518926e-41
OOOOOOOOOOOOOOOOOOOOAAAAAAA,6000,2981,466,359,2.0454228125252416e-36,9.518568905346224e-36
DDDEEEE,6000,2981,2063,1260,9.569255236833096e-38,4.798105442693778e-37
EGGGEE,6000,2981,532,369,5.266120435083906e-22,1.3990588618581126e-21
GGAAA,6000,2981,358,264,9.917026657496584e-22,2.60550663473711e-21
EEEGGG,6000,2981,2352,1467,1.110344847100564e-56,1.1799485539337335e-55
EEEGG,6000,2981,2764,1721,2.695228811312637e-73,4.680494911352676e-72
EEEAAAAAAA,6000,2981,477,355,1.442617122354312e-30,5.1357169555813504e-30
AAAAAAA,6000,2981,2736,2077,6.03272355e-316,1.4317663891e-313
EEGGGG,6000,2981,2061,1301,8.04891829078508e-52,7.540565556630233e-51
FFFFDDD,6000,2981,602,426,1.772269403105273e-28,5.896522500051189e-28
AAAAAAAA,6000,2981,2277,1785,3.575259242413957e-277,6.363961451496842e-275
AAACCC,6000,2981,331,287,4.0841344281173257e-48,3.33247704303648e-47
GBBAA,6000,2981,673,490,2.3427992958306782e-38,1.2087486221966975e-37
GGGGGE,6000,2981,1753,1126,4.118791850943965e-48,3.33247704303648e-47
EEAAAAAAAA,6000,2981,415,319,6.000351431878589e-32,2.3218751192921494e-31
EEEGGGG,6000,2981,1946,1227,3.313155908033515e-47,2.5365236629245836e-46
DDDDD,6000,2981,2501,1612,2.1004973227387445e-84,4.673606543093706e-83
EEAAAA,6000,2981,748,531,1.329937137509055e-36,6.355135851721121e-36
AAAAAAE,6000,2981,716,573,4.854344660827444e-71,7.855212269338955e-70
AAAAAA,6000,2981,3147,2310,0.0,0.0
EEEAAA,6000,2981,762,529,3.350977900654138e-32,1.310932013882278e-31
CCCCCCCC,6000,2981,288,240,3.94919727515256e-34,1.6347839883189664e-33
CCCCCCCCC,6000,2981,225,187,2.13537365917043e-26,6.610374110127592e-26
EEAAA,6000,2981,816,568,2.5432107958299977e-35,1.1246994326900363e-34
OOOOOOOOOAAA,6000,2981,813,548,4.336864501588475e-28,1.4164438188674282e-27
DDDDEE,6000,2981,2077,1274,8.173521406876475e-40,4.7701206899147946e-39
